method,seed,server_step,rpi4_update_share,rpi4_weight_share
fedasync,1337,170,0.0,0.0
fedasync,1337,171,0.0,0.0
fedasync,1337,172,0.0,0.0
fedasync,1337,173,1.0,0.25
fedasync,1337,174,0.0,0.0
fedasync,1337,175,0.0,0.0
fedasync,1337,176,0.0,0.0
fedasync,1337,177,0.0,0.0
fedasync,1337,178,1.0,0.19611613513818404
fedasync,1337,179,0.0,0.0
fedasync,1337,180,0.0,0.0
fedasync,1337,181,0.0,0.0
fedasync,1337,182,0.0,0.0
fedasync,1337,183,0.0,0.0
fedasync,1337,184,1.0,0.17407765595569785
fedasync,1337,185,0.0,0.0
fedasync,1337,186,0.0,0.0
fedasync,1337,187,1.0,0.19611613513818404
fedasync,1337,188,0.0,0.0
fedasync,1337,189,0.0,0.0
fedasync,1337,190,0.0,0.0
fedasync,1337,191,0.0,0.0
fedasync,1337,192,0.0,0.0
fedasync,1337,193,0.0,0.0
fedasync,1337,194,1.0,0.2182178902359924
fedasync,1337,195,0.0,0.0
fedasync,1337,196,0.0,0.0
fedasync,1337,197,0.0,0.0
fedasync,1337,198,0.0,0.0
fedasync,1337,199,0.0,0.0
fedasync,1337,200,1.0,0.1414213562373095
fedasync,1337,201,1.0,0.20851441405707477
fedasync,1337,202,0.0,0.0
fedasync,1337,203,0.0,0.0
fedasync,1337,204,0.0,0.0
fedasync,1337,205,0.0,0.0
fedasync,1337,206,0.0,0.0
fedasync,1337,207,0.0,0.0
fedasync,1337,208,0.0,0.0
fedasync,1337,209,0.0,0.0
fedasync,1337,210,0.0,0.0
fedasync,1337,211,0.0,0.0
fedasync,1337,212,1.0,0.1889822365046136
fedasync,1337,213,0.0,0.0
fedasync,1337,214,1.0,0.19245008972987526
fedasync,1337,215,0.0,0.0
fedasync,1337,216,0.0,0.0
fedasync,1337,217,0.0,0.0
fedasync,1337,218,0.0,0.0
fedasync,1337,219,0.0,0.0
fedasync,1337,220,0.0,0.0
fedasync,1337,221,0.0,0.0
fedasync,1337,222,1.0,0.1889822365046136
fedasync,1337,223,0.0,0.0
fedasync,1337,224,1.0,0.20851441405707477
fedasync,1337,225,0.0,0.0
fedasync,1337,226,0.0,0.0
fedasync,1337,227,0.0,0.0
fedasync,1337,228,0.0,0.0
fedasync,1337,229,0.0,0.0
fedasync,1337,230,0.0,0.0
fedasync,1337,231,0.0,0.0
fedasync,1337,232,0.0,0.0
fedasync,1337,233,0.0,0.0
fedasync,1337,234,0.0,0.0
fedasync,1337,235,0.0,0.0
fedasync,1337,236,0.0,0.0
fedasync,1337,237,0.0,0.0
fedasync,1337,238,0.0,0.0
fedasync,1337,239,0.0,0.0
fedasync,1337,240,1.0,0.15811388300841897
fedasync,1337,241,0.0,0.0
fedasync,1337,242,0.0,0.0
fedasync,1337,243,1.0,0.1796053020267749
