method,run_id,client_trips,wall_clock_s,final_acc,rpi4_group_acc,rpi5_group_acc,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
fedavg,x855vst0,750,8225.517620197,0.4045,,,,,,,
fedbuff,4pwdz3n5,1500,3976.44441366,0.4151,,,0.12933333333333333,0.09144713519834001,3.6391752577319583,1.046707503828484,0.3790694414570288
fedstaleweight,otboqbw9,1420,3959.560797135,0.4477,,,0.12466666666666666,0.3062068903089796,3.79144385026738,1.041127189642041,0.37867401192176786
