run_id,regime,method,seed,model_rate,eval_acc,device_type,client_model_rate,node_id
rr93i4c5,iid,heterofl,1337,1.0,0.846,rpi5,0.5,3190705350235416152
rr93i4c5,iid,heterofl,1337,1.0,0.828,rpi5,1.0,18383088868083530438
rr93i4c5,iid,heterofl,1337,1.0,0.822,rpi5,0.5,9729405591584874754
rr93i4c5,iid,heterofl,1337,1.0,0.83,rpi5,1.0,10446514663894992915
rr93i4c5,iid,heterofl,1337,1.0,0.792,rpi5,0.5,5008973360788601288
rr93i4c5,iid,heterofl,1337,1.0,0.81,rpi5,0.5,8562682411244942043
rr93i4c5,iid,heterofl,1337,1.0,0.806,rpi5,1.0,10932301347024296793
rr93i4c5,iid,heterofl,1337,1.0,0.826,rpi5,0.5,8063334414481108678
rr93i4c5,iid,heterofl,1337,1.0,0.776,rpi4,0.25,8521529017431495962
rr93i4c5,iid,heterofl,1337,1.0,0.83,rpi4,0.125,2993261879677907085
rr93i4c5,iid,heterofl,1337,1.0,0.822,rpi4,0.125,5386968701662192197
rr93i4c5,iid,heterofl,1337,1.0,0.808,rpi4,0.25,15302638324667653436
rr93i4c5,iid,heterofl,1337,1.0,0.804,rpi4,0.25,7124208281962356426
rr93i4c5,iid,heterofl,1337,1.0,0.778,rpi4,0.25,8534008222437838091
rr93i4c5,iid,heterofl,1337,1.0,0.79,rpi4,0.125,6306987078040641866
rr93i4c5,iid,heterofl,1337,1.0,0.796,rpi4,0.125,5541173348695825130
rr93i4c5,iid,heterofl,1337,1.0,0.77,rpi4,0.25,17310837616851378691
rr93i4c5,iid,heterofl,1337,1.0,0.798,rpi4,0.125,3370024520703496022
bx49lc5k,iid,heterofl,1338,0.125,0.638,rpi5,0.5,7822628701196313541
bx49lc5k,iid,heterofl,1338,0.125,0.672,rpi5,0.5,4568389179644570140
bx49lc5k,iid,heterofl,1338,0.125,0.634,rpi5,1.0,14224728853299755568
bx49lc5k,iid,heterofl,1338,0.125,0.65,rpi5,0.5,9509756222588831437
bx49lc5k,iid,heterofl,1338,0.125,0.646,rpi5,1.0,10669211569253228091
bx49lc5k,iid,heterofl,1338,0.125,0.642,rpi5,0.5,8674151881999616
bx49lc5k,iid,heterofl,1338,0.125,0.676,rpi5,0.5,1026344332911400302
bx49lc5k,iid,heterofl,1338,0.125,0.666,rpi5,1.0,10614291453297173530
bx49lc5k,iid,heterofl,1338,0.125,0.624,rpi5,1.0,9840277107990619066
bx49lc5k,iid,heterofl,1338,0.125,0.666,rpi5,1.0,14156708895825934231
bx49lc5k,iid,heterofl,1338,0.125,0.646,rpi4,0.25,17449783310299713536
bx49lc5k,iid,heterofl,1338,0.125,0.656,rpi4,0.125,14126041400291355866
bx49lc5k,iid,heterofl,1338,0.125,0.668,rpi4,0.125,6553601236479154295
bx49lc5k,iid,heterofl,1338,0.125,0.604,rpi4,0.125,5369298988829055689
bx49lc5k,iid,heterofl,1338,0.125,0.604,rpi4,0.25,17318750259244794732
bx49lc5k,iid,heterofl,1338,0.125,0.646,rpi4,0.125,12752386386276077351
bx49lc5k,iid,heterofl,1338,0.125,0.628,rpi4,0.125,440899273524989016
