case,seed,run_id,wall_clock_s,wall_clock_min,server_round,eval_acc
B,1337,g72gi4nc,7493.586900923,124.89311501538333,19,0.7161
B,1337,g72gi4nc,7863.265917374,131.05443195623334,20,0.7216
B,1338,7omy50op,252.346399285,4.205773321416666,,0.0998
B,1338,7omy50op,704.100306544,11.735005109066666,1,0.2124
B,1338,7omy50op,1088.970620784,18.1495103464,2,0.3539
B,1338,7omy50op,1474.649707902,24.5774951317,3,0.4735
B,1338,7omy50op,1862.459538834,31.040992313900002,4,0.5293
B,1338,7omy50op,2251.046001066,37.517433351099996,5,0.5695
B,1338,7omy50op,2639.973542776,43.99955904626667,6,0.5984
B,1338,7omy50op,3030.787505052,50.513125084200006,7,0.6238
B,1338,7omy50op,3417.505242655,56.95842071091667,8,0.6444
B,1338,7omy50op,3808.369119119,63.47281865198333,9,0.6602
B,1338,7omy50op,4199.198732435,69.98664554058334,10,0.6744
B,1338,7omy50op,4580.858591887,76.34764319811667,11,0.684
B,1338,7omy50op,4968.570171586,82.80950285976665,12,0.692
B,1338,7omy50op,5355.359859115,89.25599765191667,13,0.702
B,1338,7omy50op,5743.119883364,95.71866472273334,14,0.7089
B,1338,7omy50op,6124.800747831,102.08001246385,15,0.7144
B,1338,7omy50op,6509.583144824,108.49305241373332,16,0.7208
B,1338,7omy50op,6896.464049594,114.94106749323333,17,0.7261
B,1338,7omy50op,7284.229222272,121.4038203712,18,0.7315
B,1338,7omy50op,7673.019723027,127.88366205045,19,0.7334
B,1338,7omy50op,8057.744862352,134.29574770586666,20,0.7406
B,1339,ujj3zqhx,564.345634436,9.405760573933332,,0.1011
B,1339,ujj3zqhx,1480.797737912,24.679962298533333,1,0.2309
B,1339,ujj3zqhx,1868.557522571,31.142625376183332,2,0.3543
B,1339,ujj3zqhx,2253.267668691,37.55446114485,3,0.4273
B,1339,ujj3zqhx,2642.089994525,44.03483324208333,4,0.4991
B,1339,ujj3zqhx,3032.741293686,50.5456882281,5,0.5432
B,1339,ujj3zqhx,3416.671557506,56.94452595843334,6,0.5734
B,1339,ujj3zqhx,3806.176857587,63.43628095978333,7,0.6035
B,1339,ujj3zqhx,4187.960941313,69.79934902188333,8,0.6251
B,1339,ujj3zqhx,4573.430899904,76.22384833173334,9,0.6431
B,1339,ujj3zqhx,4961.088704099,82.68481173498334,10,0.658
B,1339,ujj3zqhx,5348.776535453,89.14627559088333,11,0.6696
B,1339,ujj3zqhx,5737.562004542,95.62603340903334,12,0.6815
B,1339,ujj3zqhx,6122.370235954,102.03950393256667,13,0.6893
B,1339,ujj3zqhx,6507.037624059,108.45062706765,14,0.6975
B,1339,ujj3zqhx,6892.732244644,114.87887074406667,15,0.7048
B,1339,ujj3zqhx,7279.722891718,121.32871486196667,16,0.7105
B,1339,ujj3zqhx,7670.368133449,127.83946889081668,17,0.7162
B,1339,ujj3zqhx,8056.107543707,134.26845906178335,18,0.7234
B,1339,ujj3zqhx,8440.754176827,140.67923628045,19,0.7263
B,1339,ujj3zqhx,8829.334382246,147.15557303743333,20,0.7314
C,1337,tzfxbsw3,227.843860505,3.7973976750833334,,0.1121
C,1337,tzfxbsw3,673.569123356,11.226152055933333,1,0.2842
C,1337,tzfxbsw3,788.309840022,13.1384973337,2,0.3722
C,1337,tzfxbsw3,900.962412864,15.0160402144,3,0.4228
C,1337,tzfxbsw3,1016.508069705,16.94180116175,4,0.4671
C,1337,tzfxbsw3,1131.277379412,18.854622990200003,5,0.5025
C,1337,tzfxbsw3,1245.970138266,20.7661689711,6,0.5292
C,1337,tzfxbsw3,1363.651896326,22.727531605433335,7,0.5518
C,1337,tzfxbsw3,1478.306403751,24.63844006251667,8,0.5716
C,1337,tzfxbsw3,1594.103643709,26.568394061816665,9,0.5868
C,1337,tzfxbsw3,1707.850717647,28.46417862745,10,0.5973
C,1337,tzfxbsw3,1822.566890882,30.376114848033335,11,0.6097
C,1337,tzfxbsw3,1937.308729381,32.28847882301667,12,0.6176
C,1337,tzfxbsw3,2052.084501286,34.20140835476666,13,0.6258
C,1337,tzfxbsw3,2166.779044492,36.11298407486667,14,0.6326
C,1337,tzfxbsw3,2284.631661736,38.07719436226667,15,0.6343
C,1337,tzfxbsw3,2399.382954626,39.98971591043333,16,0.6371
