run_id,regime,method,seed,server_round,device_type,model_rate,group_label,mean_train_duration_s,std_train_duration_s,num_clients
bbvgjhlc,noniid,fedrolex,1338,12,rpi4,0.25,rpi4 1/4,7.683165883334975,2.4250126791810547,3
bbvgjhlc,noniid,fedrolex,1338,12,rpi5,0.5,rpi5 1/2,2.7391879589413293,1.9124919078201683,2
bbvgjhlc,noniid,fedrolex,1338,12,rpi5,1.0,rpi5 1,2.4339339529979043,1.9981844215187603,4
bbvgjhlc,noniid,fedrolex,1338,13,rpi4,0.125,rpi4 1/8,10.461754686490167,6.546103648362448,4
bbvgjhlc,noniid,fedrolex,1338,13,rpi4,0.25,rpi4 1/4,10.376857564086094,0.0,1
bbvgjhlc,noniid,fedrolex,1338,13,rpi5,0.5,rpi5 1/2,3.581228584283963,0.8184932898234173,3
bbvgjhlc,noniid,fedrolex,1338,13,rpi5,1.0,rpi5 1,3.2538868539850228,3.166296410331784,2
bbvgjhlc,noniid,fedrolex,1338,14,rpi4,0.125,rpi4 1/8,12.452963723645857,7.085906310014436,3
bbvgjhlc,noniid,fedrolex,1338,14,rpi4,0.25,rpi4 1/4,7.8760277073597535,2.690929395849245,3
bbvgjhlc,noniid,fedrolex,1338,14,rpi5,0.5,rpi5 1/2,2.655445998068899,0.0,1
bbvgjhlc,noniid,fedrolex,1338,14,rpi5,1.0,rpi5 1,2.369725782695847,2.562732970863308,3
bbvgjhlc,noniid,fedrolex,1338,15,rpi4,0.125,rpi4 1/8,7.5352049643406644,1.5641460142044668,3
bbvgjhlc,noniid,fedrolex,1338,15,rpi4,0.25,rpi4 1/4,6.981687111663632,1.3541731928752674,3
bbvgjhlc,noniid,fedrolex,1338,15,rpi5,0.5,rpi5 1/2,2.7386488594929688,1.903774805040564,2
bbvgjhlc,noniid,fedrolex,1338,15,rpi5,1.0,rpi5 1,0.9080834819469601,0.18224269011623961,2
bbvgjhlc,noniid,fedrolex,1338,16,rpi4,0.125,rpi4 1/8,8.060806889494415,0.2469929692984626,2
bbvgjhlc,noniid,fedrolex,1338,16,rpi4,0.25,rpi4 1/4,6.992450484656729,1.3165922821072622,3
bbvgjhlc,noniid,fedrolex,1338,16,rpi5,0.5,rpi5 1/2,3.467847344931215,0.0,1
bbvgjhlc,noniid,fedrolex,1338,16,rpi5,1.0,rpi5 1,2.5050319997535553,2.152403504197122,4
bbvgjhlc,noniid,fedrolex,1338,17,rpi4,0.125,rpi4 1/8,13.989093425450847,8.580647578163227,2
bbvgjhlc,noniid,fedrolex,1338,17,rpi4,0.25,rpi4 1/4,8.759242231297927,1.868621116940263,3
bbvgjhlc,noniid,fedrolex,1338,17,rpi5,0.5,rpi5 1/2,3.4906856840243563,0.0,1
