regime,topology,method,x,n,eval_acc_mean,eval_acc_std
iid,all_rpi5,fedstaleweight,180.0,3,0.5635666666666667,0.0026839026311200865
iid,all_rpi5,fedstaleweight,190.0,3,0.5684666666666667,0.001026320287889372
iid,all_rpi5,fedstaleweight,200.0,3,0.5721666666666666,0.001184623709594455
iid,all_rpi5,fedstaleweight,210.0,3,0.5765666666666666,0.0017243356208503213
iid,all_rpi5,fedstaleweight,220.0,3,0.5802666666666667,0.0008082903768654465
iid,all_rpi5,fedstaleweight,230.0,3,0.5822666666666666,0.0011060440015358511
iid,all_rpi5,fedstaleweight,240.0,3,0.5872333333333334,0.0008082903768654512
iid,all_rpi5,fedstaleweight,250.0,3,0.5908666666666667,0.0019035055380359099
iid,all_rpi5,fedstaleweight,260.0,3,0.5944333333333334,0.0022030282189144535
iid,all_rpi5,fedstaleweight,270.0,3,0.6004,0.0004582575694955941
iid,all_rpi5,fedstaleweight,280.0,3,0.6027,0.003553871128783365
iid,mixed,fedavg,15.0,3,0.4017,0.00045825756949558806
iid,mixed,fedavg,30.0,3,0.44316666666666665,0.0017616280348964834
iid,mixed,fedavg,45.0,3,0.47563333333333335,0.0020305992547357374
iid,mixed,fedavg,60.0,3,0.4989333333333333,0.004244211744639218
iid,mixed,fedavg,75.0,3,0.5208333333333334,0.004974267115197306
iid,mixed,fedavg,90.0,3,0.5356333333333333,0.0006027713773341566
iid,mixed,fedavg,105.0,3,0.5489,0.0027184554438136155
iid,mixed,fedavg,120.0,3,0.5607333333333333,0.0019035055380359099
iid,mixed,fedavg,135.0,3,0.5714666666666667,0.0014294521094927832
iid,mixed,fedavg,150.0,3,0.5804333333333332,0.002107921567168341
iid,mixed,fedavg,165.0,3,0.5898666666666667,0.0007505553499465418
iid,mixed,fedavg,180.0,3,0.5982999999999999,0.0009539392014169686
iid,mixed,fedavg,195.0,3,0.6051333333333333,0.002285461295522902
iid,mixed,fedbuff,10.0,3,0.36863333333333337,0.020005332622411807
iid,mixed,fedbuff,20.0,3,0.39999999999999997,0.0044508426168535595
iid,mixed,fedbuff,30.0,3,0.41243333333333326,0.0029005746557076257
iid,mixed,fedbuff,40.0,3,0.42533333333333334,0.00220302821891444
iid,mixed,fedbuff,50.0,3,0.4362,0.0037509998667022175
iid,mixed,fedbuff,60.0,3,0.44870000000000004,0.004592385001282033
iid,mixed,fedbuff,70.0,3,0.4604,0.0046872166581031945
iid,mixed,fedbuff,80.0,3,0.4726333333333333,0.003696394639825852
iid,mixed,fedbuff,90.0,3,0.4830666666666667,0.004027819923151137
iid,mixed,fedbuff,100.0,3,0.48943333333333333,0.004878865988458108
iid,mixed,fedbuff,110.0,3,0.4968333333333333,0.00441172679722273
iid,mixed,fedbuff,120.0,3,0.5039333333333333,0.004974267115197306
iid,mixed,fedbuff,130.0,3,0.51,0.0037269290307168188
iid,mixed,fedbuff,140.0,3,0.5161333333333333,0.004174126655161934
iid,mixed,fedbuff,150.0,3,0.5214666666666666,0.0038527046776691202
iid,mixed,fedbuff,160.0,3,0.5260666666666667,0.003256275991578902
iid,mixed,fedbuff,170.0,3,0.5298333333333333,0.003924708057083172
iid,mixed,fedbuff,180.0,3,0.5328333333333334,0.005739628327107415
iid,mixed,fedbuff,190.0,3,0.5389,0.006400000000000017
iid,mixed,fedbuff,200.0,3,0.5427,0.004856953777832322
iid,mixed,fedbuff,210.0,3,0.547,0.00412431812546025
iid,mixed,fedbuff,220.0,3,0.5517333333333333,0.003957692930652078
iid,mixed,fedbuff,230.0,3,0.5544,0.004256759330758592
iid,mixed,fedbuff,240.0,3,0.5578333333333333,0.004215843134336632
iid,mixed,fedbuff,250.0,3,0.5602,0.005225897052181551
iid,mixed,fedbuff,260.0,3,0.5631333333333334,0.005201281893277191
iid,mixed,fedbuff,270.0,3,0.5668333333333333,0.005739628327107354
iid,mixed,fedbuff,280.0,3,0.57,0.005963220606350204
iid,mixed,fedbuff,290.0,3,0.5737666666666666,0.00575007246331149
iid,mixed,fedbuff,300.0,3,0.5773333333333334,0.0050143128475727645
