case,server_round,n,wall_clock_mean_min,wall_clock_std_min,eval_acc_mean_pct,eval_acc_std_pct
A,0,3,0.7287810752444445,0.11684569637172545,11.316666666666668,2.2035501658308876
A,1,3,2.7162359285999997,0.1438905786222429,29.926666666666666,2.6357225448315558
A,2,3,3.987961087838889,0.13286679317245345,41.59666666666667,1.8708910533041017
A,3,3,5.25436080595,0.13398664511119313,46.629999999999995,3.149110985659287
A,4,3,6.527530377483333,0.11908421123269973,50.63333333333333,3.0257285624016816
A,5,3,7.811108880972221,0.11118680865346152,53.24666666666667,3.0351661129719627
A,6,3,9.066443068694445,0.11173471579613443,55.74666666666667,2.540104984706996
A,7,3,10.32782626625,0.10548673890344379,57.843333333333334,2.3403062477661605
A,8,3,11.5828366433,0.10651506181047331,59.656666666666666,2.264891461711434
A,9,3,12.848541820994447,0.1263492093641993,61.02333333333333,2.2310834438302245
A,10,3,14.12119156405,0.10865604274092233,62.42666666666667,2.175921260830309
A,11,3,15.378117577677777,0.10959472786142677,63.49666666666667,2.128880770107456
A,12,3,16.633044447222222,0.11082225351513304,64.48666666666666,2.015349432067137
A,13,3,17.921779083305555,0.12315856183979113,65.35,1.8526737435393164
A,14,3,19.178316020611113,0.12319692891037017,66.21666666666667,1.7326665384122015
A,15,3,20.452211686477778,0.11295895143074423,66.89,1.6388715629969248
A,16,3,21.706665435199998,0.11175171824847535,67.65333333333332,1.5339274211426508
A,17,3,22.968173622466665,0.1046359568013408,68.22333333333334,1.3184966186279559
A,18,3,24.23906178465,0.09429952310462639,68.82666666666667,1.4541091201602936
A,19,3,25.50998890883889,0.12202259495687852,69.19333333333333,1.4135888133871675
A,20,3,26.770086729183333,0.13291264238168582,69.61,1.6250846131817256
B,0,3,3.74450625985,0.021453048800622845,11.316666666666668,2.2035501658308876
B,1,3,10.62029634163889,0.43071593852809154,26.620000000000005,2.417519389787805
B,2,3,16.699424471244445,0.7944686797375755,39.06666666666666,3.8983372523850877
B,3,3,22.694070077116663,1.1917923204786887,45.776666666666664,4.029693950330883
B,4,3,28.778097942605555,1.5214135858814353,50.60666666666666,3.719547463513987
B,5,3,34.82317138201111,1.8813121909741932,54.20666666666667,2.9904904837389688
B,6,3,40.74161490224444,2.3658427190248528,56.949999999999996,2.4252010225958585
B,7,3,46.79571593107778,2.7638753342975835,59.22666666666667,2.2547801075345073
B,8,3,52.85748230592778,3.084915454258262,61.169999999999995,2.179977064099533
B,9,3,58.93442973101111,3.436266893473978,62.72666666666667,2.160424341034263
B,10,3,64.98618942698889,3.791804395061389,64.02,2.0897607518565406
B,11,3,71.1093437951,4.171546358872014,65.25666666666667,1.94343338793316
B,12,3,77.10532305421111,4.532516187562971,66.28333333333333,2.015349432067137
B,13,3,83.17299630996666,4.91803037194025,67.23333333333333,1.9643149781369946
B,14,3,89.25096268732221,5.339423929458329,68.23,2.092343184088118
B,15,3,95.31763110328889,5.726100985864703,68.95666666666666,1.9655363983740715
B,16,3,101.37887264089444,6.116712781196386,69.61,2.014720824332735
B,17,3,107.46893945800001,6.45240725071302,70.11333333333333,1.9101396109534339
B,18,3,113.56945500879999,6.807194050825954,70.63,1.8400815199332834
B,19,3,119.64084396256112,7.117574038632925,70.98,1.8929606440705533
B,20,3,125.74577802667777,7.513920434043637,71.57,1.6285883457767956
C,0,3,1.1304121546777777,0.034949127672857974,9.593333333333334,1.4690926905179724
C,1,3,3.7180049893999993,0.18484488972379187,29.169999999999998,2.127839279644964
C,2,3,5.549559993350001,0.3164966750027131,39.99666666666667,1.8045590412434092
C,3,3,7.397237363322223,0.4665908074491483,46.120000000000005,2.803729658865133
C,4,3,9.242326465466666,0.6122733801313496,50.953333333333326,2.721880477415074
C,5,3,11.093387679455555,0.7821579131209949,54.09,2.480463666333371
C,6,3,12.903160359366666,0.9497328987046014,56.583333333333336,2.2450241275615115
C,7,3,14.74179190403889,1.1079592188365892,58.73333333333333,2.299354982018506
C,8,3,16.57880701485,1.2646505309014784,60.379999999999995,2.0311819219360943
C,9,3,18.4093718387,1.417697893606968,61.68333333333334,2.010132665605268
C,10,3,20.261506236983333,1.588549384590137,62.96,1.8041064270158849
C,11,3,22.105544104588887,1.7347104701228824,64.27333333333333,1.7667012575229937
C,12,3,23.940243628266668,1.8799026011285187,65.28333333333335,1.6270935232288752
C,13,3,25.771051737277777,2.020076353406258,66.17333333333333,1.4204694059828693
C,14,3,27.611196021344444,2.2069067982439488,66.75666666666667,1.4123148846249958
C,15,3,29.44540103305,2.3528712803325535,67.48333333333333,1.1405408073950423
C,16,3,31.293725457233336,2.5244662561059292,68.13,1.0916043239196154
C,17,3,33.12078567701111,2.6652705922513973,68.64999999999999,1.1688883607941298
C,18,3,34.96076776753333,2.852545554981714,69.29666666666667,1.2528500841414956
C,19,3,36.80053085403889,2.9992344714470143,69.63,1.1682037493519766
C,20,3,38.63343140850555,3.147934146684604,70.21,1.1371455491712552
D,0,3,1.2843993657222221,0.10926248998059383,8.84,0.22649503305812224
D,1,3,3.9251687037277776,0.21485791557654949,28.653333333333332,2.441502269778452
D,2,3,5.758333302172222,0.28803997289608513,40.623333333333335,0.8113158036999738
D,3,3,7.570972898038889,0.4245914134389305,45.830000000000005,1.5903144343179443
D,4,3,9.394505246794445,0.6081508669314261,50.29,1.5404869360043276
D,5,3,11.220582286233332,0.7325098437598959,53.53666666666667,1.2820426409965182
