case,clients,method,data_used,rpi5_rate,rpi4_rate,n,final_acc_mean_pct,final_acc_std_pct,best_acc_mean_pct,best_acc_std_pct,total_time_mean_min,total_time_std_min,mean_round_time_mean_s,mean_round_time_std_s
A,12 rpi5,FedAvg,12/15,1.0,excluded,3,69.61,1.6250846131817256,69.61,1.6250846131817256,26.807544133411124,0.1325307791440974,57.34954912541713,0.23480562859572066
B,12rpi5 + 3 rpi4,FedAvg,15/15,1.0,1.0,3,71.57,1.6285883457767956,71.57,1.6285883457767956,125.78496324925008,7.506603049218784,345.13236136006685,22.54069728386729
C,12rpi5 + 3 rpi4,HeteroFL,15/15,1.0,1/8,3,70.21,1.1371455491712552,70.21,1.1371455491712552,39.129512341088855,3.072467687028613,91.43675162508346,9.742766132379415
D,12rpi5 + 3 rpi4,FedRolex,15/15,1.0,1/8,3,69.41,1.1007724560507484,69.41,1.1007724560507484,39.24468322706113,3.024036885716835,91.16599301096612,9.65559168501307
E,12rpi5 + 3 rpi4,FIARSE,15/15,1.0,1/8,3,70.97,1.0839280418920814,70.97,1.0839280418920814,137.90768306161658,8.050384345493796,384.42394642063385,20.77254164591163
