pair,method,seed,mix,avg_params,train_duration_s,score,run_id,created_at
pair_a_c,fiarse,1339,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,27.389632344373968,0.6057,wliwgek3,2026-04-29T21:12:00Z
pair_a_c,fiarse,1337,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,27.320626025024104,0.6562,z5b7g18k,2026-04-20T06:51:53Z
pair_a_c,fiarse,1338,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,27.360104585351657,0.6695,0tf6k8ai,2026-04-26T15:35:56Z
pair_a_c,fiarse,1339,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,27.34672782846028,0.6605,u5i3fpqk,2026-04-29T22:28:19Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,27.329176002112217,0.6677,yk0fwjve,2026-04-20T08:08:10Z
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,27.421690943144498,0.6783,m6yrht2l,2026-04-26T16:52:36Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,27.356675046583405,0.667,py6h8ary,2026-04-29T23:51:26Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,27.45241609963123,0.6706,p0o9zqsu,2026-04-20T09:24:25Z
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,27.34402235156158,0.6849,idb7854d,2026-04-26T18:09:17Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,27.441807209025136,0.6706,rq8bswr2,2026-04-30T01:27:22Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",199370.0,27.38000986392144,0.6753,inuzv2uo,2026-04-20T10:41:09Z
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",199370.0,27.40712932979805,0.6828,8poatypz,2026-04-26T19:26:19Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",199370.0,27.336568609037204,0.6764,nqj7o2rn,2026-04-30T03:17:56Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.25,7:0.25,8:0.25,9:0.25",234352.4,27.262194892333355,0.6775,5l5dxhwt,2026-04-20T11:57:51Z
