task,regime,method,label,seed,run_id,target_acc,target_reached,best_acc,final_acc,target_client_trips,target_wall_clock_s,post_warmup_target_wall_clock_s,final_client_trips,runtime_s,rpi4_weight_share,coverage_gain_mean,coverage_mass_mean
cifar10_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1338,fzw6cb7h,0.6,True,0.6025,0.6025,480.0,3408.079776066006,2169.602784071001,480.0,3428.896138524986,0.4481387962349491,1.3551698923110962,0.3174143135547638
cifar10_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1339,fdyjrc8t,0.6,True,0.611,0.611,280.0,2159.804950511956,1220.129050198011,280.0,2180.819003000972,0.4519629235879092,1.395642876625061,0.290277361869812
cifar10_cnn,noniid,fedcover_050,FedCover (gamma=0.5),1337,eajmk8ms,0.6,True,0.6029,0.6029,340.0,1748.3355656450149,1488.316254445992,340.0,1768.9339434550493,0.4371015484460596,1.9745713472366333,0.16073410212993622
cifar10_cnn,noniid,fedcover_050,FedCover (gamma=0.5),1338,kawgrsj8,0.6,True,0.6243,0.6243,400.0,2474.4155627409928,1699.8659956910415,400.0,2495.219900194963,0.41508344978648537,1.9318952560424805,0.18052765727043152
cifar10_cnn,noniid,fedcover_050,FedCover (gamma=0.5),1339,pu8puo1w,0.6,True,0.6026,0.6026,340.0,2419.539596056973,1513.6436915280065,340.0,2440.289396456966,0.4711398907178724,1.8198738098144531,0.31413620710372925
cifar10_cnn,noniid,fedcover_100,FedCover (gamma=1.0),1337,lyv9lu4o,0.6,True,0.6196,0.6196,280.0,2125.417181509023,1225.3326443540282,280.0,2146.096857090015,0.4601306179924177,1.9931749105453491,0.20955069363117215
cifar10_cnn,noniid,fedcover_100,FedCover (gamma=1.0),1338,i5j7we6u,0.6,True,0.6181,0.6181,460.0,4376.043469661032,2191.76865554502,460.0,4396.894735785027,0.4454631176702899,1.9791178703308103,0.33947160840034485
cifar10_cnn,noniid,fedcover_100,FedCover (gamma=1.0),1339,ptpcdne6,0.6,True,0.6073,0.6073,140.0,2425.333378223004,670.5679683480412,140.0,2446.166678934009,0.4894875639685425,1.9850976467132568,0.2191489040851593
cifar10_cnn,noniid,fedbuff_full,Full-model FedBuff,1337,myahfz65,0.6,True,0.6046,0.6046,120.0,1907.502212594001,906.1959554440034,120.0,1928.106814086001,0.31179302178019125,,
cifar10_cnn,noniid,fedbuff_full,Full-model FedBuff,1338,96hydsfz,0.6,True,0.6281,0.6281,140.0,1948.459700071995,1286.395286922998,140.0,1969.3771894569943,0.32601236382383547,,
