method,wall_clock_s,accuracy
fedbuff,937.120485517,0.3786
fedbuff,961.232825094,0.3806
fedbuff,961.233498481,0.3806
fedbuff,984.278717787,0.3805
fedbuff,984.278998786,0.3805
fedbuff,1008.326713086,0.3816
fedbuff,1008.326982974,0.3816
fedbuff,1032.227830879,0.3836
fedbuff,1032.228628618,0.3836
fedbuff,1056.18848185,0.3842
fedbuff,1056.188736609,0.3842
fedbuff,1080.054537926,0.3848
fedbuff,1080.054782945,0.3848
fedbuff,1103.113182101,0.3846
fedbuff,1103.113461471,0.3846
fedbuff,1128.128482895,0.3852
fedbuff,1128.128933191,0.3852
fedbuff,1152.241674145,0.3866
fedbuff,1152.242333311,0.3866
fedbuff,1175.941213505,0.3853
fedbuff,1175.941423949,0.3853
fedbuff,1199.003123806,0.3847
fedbuff,1199.003372399,0.3847
fedbuff,1223.186478868,0.3857
fedbuff,1223.186951886,0.3857
fedbuff,1248.188039034,0.387
fedbuff,1248.188561681,0.387
fedbuff,1272.154428103,0.3868
fedbuff,1272.154652899,0.3868
fedbuff,1295.24092111,0.3882
fedbuff,1295.24157959,0.3882
fedbuff,1319.078550232,0.3884
fedbuff,1319.078633695,0.3884
fedbuff,1343.062098936,0.3877
fedbuff,1343.062729176,0.3877
fedbuff,1365.784977195,0.3876
fedbuff,1365.785416157,0.3876
fedbuff,1389.729526403,0.3881
fedbuff,1389.729806588,0.3881
fedbuff,1427.267537407,0.3886
fedbuff,1427.268624201,0.3886
fedbuff,1450.129667544,0.3898
fedbuff,1450.129961322,0.3898
fedbuff,1474.867568186,0.3898
fedbuff,1474.868042204,0.3898
fedbuff,1510.854728511,0.3908
fedbuff,1510.854984863,0.3908
fedbuff,1532.515400663,0.3901
fedbuff,1532.51566507,0.3901
fedbuff,1577.577433875,0.39
fedbuff,1577.577709875,0.39
fedbuff,1599.401871554,0.391
fedbuff,1599.402152424,0.391
fedbuff,1622.310840393,0.3909
fedbuff,1622.311427281,0.3909
fedbuff,1661.295517766,0.3909
fedbuff,1661.29579921,0.3909
fedbuff,1683.339867109,0.3915
fedbuff,1683.340197442,0.3915
fedbuff,1708.326485392,0.3928
fedbuff,1708.326857465,0.3928
fedbuff,1732.057982225,0.3933
fedbuff,1732.05870615,0.3933
fedbuff,1755.113481023,0.3941
fedbuff,1755.113722801,0.3941
fedbuff,1778.97588791,0.3953
fedbuff,1778.976168706,0.3953
fedbuff,1803.110954967,0.3948
fedbuff,1803.111329615,0.3948
fedbuff,1826.202004508,0.3952
fedbuff,1826.202571489,0.3952
fedbuff,1864.34006025,0.395
fedbuff,1864.340474398,0.395
fedbuff,1886.152619439,0.3953
fedbuff,1886.152866938,0.3953
fedbuff,1910.955090127,0.3955
fedbuff,1910.955668163,0.3955
fedbuff,1933.899765313,0.3958
fedbuff,1933.900080812,0.3958
fedbuff,1958.904122242,0.3967
fedbuff,1958.904756426,0.3967
fedbuff,1983.803271804,0.3971
fedbuff,1983.803533748,0.3971
fedbuff,2006.713412308,0.3972
fedbuff,2006.713985381,0.3972
fedbuff,2030.519111462,0.3975
fedbuff,2030.519727683,0.3975
fedbuff,2054.22768318,0.3986
fedbuff,2054.228495289,0.3986
