method,server_step,rpi4_update_share,rpi4_weight_share
fedbuff,148,0.1,0.05
fedbuff,149,0.1,0.05773502691896258
fedbuff,150,0.0,0.0
fedstaleweight,1,0.0,0.0
fedstaleweight,2,0.1,0.1
fedstaleweight,3,0.0,0.0
fedstaleweight,4,0.2,0.41333333333333333
fedstaleweight,5,0.1,0.2733333333333333
fedstaleweight,6,0.2,0.48235294117647054
fedstaleweight,7,0.1,0.22142857142857142
fedstaleweight,8,0.1,0.175
fedstaleweight,9,0.1,0.34
fedstaleweight,10,0.2,0.45555555555555555
fedstaleweight,11,0.1,0.31875
fedstaleweight,12,0.1,0.23846153846153847
fedstaleweight,13,0.1,0.22142857142857142
fedstaleweight,14,0.1,0.34
fedstaleweight,15,0.2,0.48235294117647054
fedstaleweight,16,0.1,0.22142857142857142
fedstaleweight,17,0.1,0.175
fedstaleweight,18,0.1,0.38125
fedstaleweight,19,0.2,0.45555555555555555
fedstaleweight,20,0.1,0.31875
fedstaleweight,21,0.1,0.23846153846153847
fedstaleweight,22,0.1,0.23846153846153847
fedstaleweight,23,0.1,0.175
fedstaleweight,24,0.2,0.56
fedstaleweight,25,0.2,0.43157894736842106
fedstaleweight,26,0.1,0.16153846153846155
fedstaleweight,27,0.0,0.0
fedstaleweight,28,0.1,0.23846153846153847
fedstaleweight,29,0.2,0.5111111111111111
fedstaleweight,30,0.2,0.4842105263157895
fedstaleweight,31,0.1,0.22142857142857142
fedstaleweight,32,0.1,0.175
fedstaleweight,33,0.1,0.29285714285714287
fedstaleweight,34,0.2,0.45555555555555555
fedstaleweight,35,0.1,0.31875
fedstaleweight,36,0.1,0.23846153846153847
fedstaleweight,37,0.2,0.4235294117647059
fedstaleweight,38,0.1,0.2733333333333333
fedstaleweight,39,0.0,0.0
fedstaleweight,40,0.2,0.44999999999999996
fedstaleweight,41,0.1,0.2733333333333333
fedstaleweight,42,0.1,0.38125
fedstaleweight,43,0.2,0.41333333333333333
fedstaleweight,44,0.1,0.31875
fedstaleweight,45,0.1,0.29285714285714287
fedstaleweight,46,0.2,0.41333333333333333
fedstaleweight,47,0.1,0.3
fedstaleweight,48,0.1,0.29285714285714287
fedstaleweight,49,0.2,0.3875
fedstaleweight,50,0.1,0.2733333333333333
fedstaleweight,51,0.1,0.175
fedstaleweight,52,0.1,0.23846153846153847
fedstaleweight,53,0.1,0.31875
fedstaleweight,54,0.2,0.5368421052631579
fedstaleweight,55,0.2,0.3875
fedstaleweight,56,0.0,0.0
fedstaleweight,57,0.3,0.51875
fedstaleweight,58,0.1,0.20666666666666667
fedstaleweight,59,0.2,0.44999999999999996
fedstaleweight,60,0.1,0.20666666666666667
fedstaleweight,61,0.1,0.2733333333333333
fedstaleweight,62,0.1,0.175
fedstaleweight,63,0.1,0.23846153846153847
fedstaleweight,64,0.1,0.31875
fedstaleweight,65,0.1,0.38125
fedstaleweight,66,0.3,0.5947368421052632
fedstaleweight,67,0.0,0.0
fedstaleweight,68,0.3,0.5187499999999999
fedstaleweight,69,0.0,0.0
fedstaleweight,70,0.2,0.5111111111111111
fedstaleweight,71,0.1,0.22142857142857142
fedstaleweight,72,0.2,0.44999999999999996
fedstaleweight,73,0.1,0.16153846153846155
fedstaleweight,74,0.0,0.0
fedstaleweight,75,0.2,0.48235294117647054
fedstaleweight,76,0.2,0.51
fedstaleweight,77,0.1,0.22142857142857142
fedstaleweight,78,0.1,0.23846153846153847
fedstaleweight,79,0.1,0.175
fedstaleweight,80,0.1,0.29285714285714287
fedstaleweight,81,0.2,0.4842105263157895
fedstaleweight,82,0.1,0.3588235294117647
fedstaleweight,83,0.1,0.23846153846153847
fedstaleweight,84,0.2,0.44999999999999996
fedstaleweight,85,0.1,0.16153846153846155
fedstaleweight,86,0.1,0.34
fedstaleweight,87,0.1,0.22142857142857142
fedstaleweight,88,0.2,0.5368421052631579
fedstaleweight,89,0.1,0.22142857142857142
fedstaleweight,90,0.1,0.23846153846153847
fedstaleweight,91,0.1,0.34
fedstaleweight,92,0.1,0.23846153846153847
fedstaleweight,93,0.2,0.48235294117647054
fedstaleweight,94,0.1,0.3588235294117647
fedstaleweight,95,0.1,0.23846153846153847
fedstaleweight,96,0.2,0.48235294117647054
fedstaleweight,97,0.1,0.2733333333333333
fedstaleweight,98,0.1,0.23846153846153847
fedstaleweight,99,0.1,0.22142857142857142
fedstaleweight,100,0.1,0.38125
fedstaleweight,101,0.2,0.48235294117647054
fedstaleweight,102,0.1,0.22142857142857142
fedstaleweight,103,0.1,0.34
fedstaleweight,104,0.1,0.23846153846153847
fedstaleweight,105,0.1,0.23846153846153847
fedstaleweight,106,0.2,0.56
fedstaleweight,107,0.1,0.22142857142857142
fedstaleweight,108,0.2,0.48235294117647054
