method,seed,wall_clock_s,accuracy
fedbuff,1337,1103.113461471,0.3846
fedbuff,1337,1128.128933191,0.3852
fedbuff,1337,1152.241674145,0.3866
fedbuff,1337,1175.941213505,0.3853
fedbuff,1337,1175.941423949,0.3853
fedbuff,1337,1223.186951886,0.3857
fedbuff,1337,1248.188561681,0.387
fedbuff,1337,1343.062098936,0.3877
fedbuff,1337,1365.785416157,0.3876
fedbuff,1337,1450.129667544,0.3898
fedbuff,1337,1577.577433875,0.39
fedbuff,1337,1622.310840393,0.3909
fedbuff,1337,1622.311427281,0.3909
fedbuff,1337,1661.295517766,0.3909
fedbuff,1337,1708.326485392,0.3928
fedbuff,1337,1732.057982225,0.3933
fedbuff,1337,1755.113481023,0.3941
fedbuff,1337,1864.340474398,0.395
fedbuff,1337,1886.152619439,0.3953
fedbuff,1337,1933.900080812,0.3958
fedbuff,1337,1958.904756426,0.3967
fedbuff,1337,1983.803271804,0.3971
fedbuff,1337,1983.803533748,0.3971
fedbuff,1337,2054.228495289,0.3986
fedbuff,1337,2078.313035972,0.3992
fedbuff,1337,2125.051823169,0.3992
fedbuff,1337,2161.305306855,0.3996
fedbuff,1337,2183.263302076,0.4003
fedbuff,1337,2206.89741644,0.4
fedbuff,1337,2230.83974628,0.4009
fedbuff,1337,2255.764539076,0.4016
fedbuff,1337,2255.765096112,0.4016
fedbuff,1337,2278.532065399,0.4022
fedbuff,1337,2278.532498342,0.4022
fedbuff,1337,2302.482886183,0.4025
fedbuff,1337,2326.372147968,0.4026
fedbuff,1337,2374.068892312,0.4029
fedbuff,1337,2396.863927654,0.4028
fedbuff,1337,2396.864626264,0.4028
fedbuff,1337,2421.893261088,0.4026
fedbuff,1337,2421.893519143,0.4026
fedbuff,1337,2453.086526239,0.4026
fedbuff,1337,2499.698329342,0.4048
fedbuff,1337,2523.705079648,0.4046
fedbuff,1337,2571.807923669,0.4052
fedbuff,1337,2609.040830554,0.4047
fedbuff,1337,2609.041071238,0.4047
fedbuff,1337,2630.771409138,0.4058
fedbuff,1337,2655.72068073,0.4053
fedbuff,1337,2678.765764778,0.4059
fedbuff,1337,2726.730775729,0.4067
fedbuff,1337,2726.731025692,0.4067
fedbuff,1337,2760.704000324,0.4072
