run_id,regime,method,seed,model_rate,eval_acc,device_type,client_model_rate,node_id
skhigedl,iid,heterofl,1340,1.0,0.734,rpi5,1.0,11468837724597419097
skhigedl,iid,heterofl,1340,1.0,0.724,rpi5,1.0,11356015273219311523
skhigedl,iid,heterofl,1340,1.0,0.71,rpi5,0.5,6289439195873194983
skhigedl,iid,heterofl,1340,1.0,0.746,rpi5,1.0,18352544594278658113
skhigedl,iid,heterofl,1340,1.0,0.734,rpi5,0.5,1001020778093271769
skhigedl,iid,heterofl,1340,1.0,0.71,rpi4,0.125,10296307604165334264
skhigedl,iid,heterofl,1340,1.0,0.714,rpi4,0.125,6970481121370718421
skhigedl,iid,heterofl,1340,1.0,0.724,rpi4,0.125,2901552211409107926
skhigedl,iid,heterofl,1340,1.0,0.722,rpi4,0.25,15872719220373290229
skhigedl,iid,heterofl,1340,1.0,0.708,rpi4,0.25,12634701742333539903
skhigedl,iid,heterofl,1340,1.0,0.712,rpi4,0.125,7031413163730855867
skhigedl,iid,heterofl,1340,1.0,0.69,rpi4,0.125,4037093497016627852
skhigedl,iid,heterofl,1340,1.0,0.708,rpi4,0.25,11308015323771934259
skhigedl,iid,heterofl,1340,1.0,0.692,rpi4,0.25,12524427193997976699
skhigedl,iid,heterofl,1340,1.0,0.674,rpi4,0.25,13057587866070458806
i99r0zn3,iid,fedrolex,1340,0.125,0.468,rpi5,1.0,9578444352946599320
i99r0zn3,iid,fedrolex,1340,0.125,0.448,rpi5,1.0,6491029980112882392
i99r0zn3,iid,fedrolex,1340,0.125,0.518,rpi5,1.0,7214210827289388172
i99r0zn3,iid,fedrolex,1340,0.125,0.448,rpi5,1.0,8025589772372413376
i99r0zn3,iid,fedrolex,1340,0.125,0.468,rpi5,0.5,5114395857319699522
i99r0zn3,iid,fedrolex,1340,0.125,0.47,rpi5,1.0,10329491655507626176
i99r0zn3,iid,fedrolex,1340,0.125,0.512,rpi5,0.5,3873233092758029672
i99r0zn3,iid,fedrolex,1340,0.125,0.464,rpi5,0.5,2796807896880240181
i99r0zn3,iid,fedrolex,1340,0.125,0.494,rpi5,0.5,4357045699104165512
i99r0zn3,iid,fedrolex,1340,0.125,0.474,rpi5,0.5,1350092422391739513
i99r0zn3,iid,fedrolex,1340,0.125,0.448,rpi4,0.125,1463201800534957734
i99r0zn3,iid,fedrolex,1340,0.125,0.446,rpi4,0.25,11383543845528589587
