regime,topology,method,x,n,eval_acc_mean,eval_acc_std
iid,all_rpi5,fedasync,200.0,3,0.44260993989945147,0.022557335279179212
iid,all_rpi5,fedasync,300.0,3,0.45610235214776607,0.014464335475505716
iid,all_rpi5,fedasync,400.0,3,0.509922366412637,0.01604532005715803
iid,all_rpi5,fedasync,500.0,3,0.4993720862864885,0.023091448943561067
iid,all_rpi5,fedasync,600.0,3,0.530372546817565,0.021631730109183487
iid,all_rpi5,fedasync,700.0,3,0.513376522031929,0.051907904983937714
iid,all_rpi5,fedasync,800.0,3,0.6171666666666668,0.013755120258773982
iid,all_rpi5,fedavg,200.0,3,0.44468876576806154,0.007652997452284819
iid,all_rpi5,fedavg,300.0,3,0.5035319763066227,0.006229024207147281
iid,all_rpi5,fedavg,400.0,3,0.5408576733969147,0.004658508115991883
iid,all_rpi5,fedavg,500.0,3,0.5653183290822107,0.004601739530133402
iid,all_rpi5,fedavg,600.0,3,0.5864458162230511,0.00463445292100345
iid,all_rpi5,fedavg,700.0,3,0.6019615248245637,0.003936260516055068
iid,all_rpi5,fedavg,800.0,3,0.6056333333333334,0.0019425069712444177
iid,all_rpi5,fedbuff,200.0,3,0.42520207236536806,0.009769622539943042
iid,all_rpi5,fedbuff,300.0,3,0.48480842335492746,0.019638129603850054
iid,all_rpi5,fedbuff,400.0,3,0.5160740317782008,0.021717666982464294
iid,all_rpi5,fedbuff,500.0,3,0.5431528090932912,0.02628990865597317
iid,all_rpi5,fedbuff,600.0,3,0.5621202411738171,0.028310379331365286
iid,all_rpi5,fedbuff,700.0,3,0.5757381893923633,0.02543108253720177
iid,all_rpi5,fedbuff,800.0,3,0.5854278796984259,0.017037814379582412
iid,all_rpi5,fedbuff,900.0,3,0.5944401258915205,0.009233814900132224
iid,all_rpi5,fedbuff,1000.0,3,0.6016964104791196,0.0034053116611873586
iid,all_rpi5,fedbuff,1100.0,3,0.6027999999999999,0.00204205778566622
iid,all_rpi5,fedstaleweight,200.0,3,0.4232274307040356,0.014522326349487703
iid,all_rpi5,fedstaleweight,300.0,3,0.49823127336791456,0.009625736920391951
iid,all_rpi5,fedstaleweight,400.0,3,0.5320672444772859,0.005345101908625152
iid,all_rpi5,fedstaleweight,500.0,3,0.5603030970371282,0.004450703275862032
iid,all_rpi5,fedstaleweight,600.0,3,0.5775809117117036,0.002758970983623491
iid,all_rpi5,fedstaleweight,700.0,3,0.5950550886630687,0.0019285037134816388
iid,all_rpi5,fedstaleweight,800.0,3,0.6027,0.003553871128783365
iid,mixed,fedasync,400.0,3,0.4950665436012344,0.004609749384492498
iid,mixed,fedasync,500.0,3,0.5555376125661351,0.006773697850351575
iid,mixed,fedasync,600.0,3,0.5926973573683286,0.002615599427360052
iid,mixed,fedasync,700.0,3,0.6044666666666667,0.00395263625107768
iid,mixed,fedavg,500.0,3,0.43456730371969865,0.018724199971779466
iid,mixed,fedavg,600.0,3,0.45747427501922416,0.016601060304218773
iid,mixed,fedavg,700.0,3,0.4752767665081259,0.012226366529296883
iid,mixed,fedavg,800.0,3,0.49147442691484716,0.01074353964570197
iid,mixed,fedavg,900.0,3,0.5073661630062526,0.011978881055257047
iid,mixed,fedavg,1000.0,3,0.5185549038089846,0.010511227069164445
iid,mixed,fedavg,1100.0,3,0.5285000644907716,0.008108858247738597
iid,mixed,fedavg,1200.0,3,0.5379260323500668,0.006190432007695842
iid,mixed,fedavg,1300.0,3,0.5466314109905476,0.0061691049411427765
iid,mixed,fedavg,1400.0,3,0.5550083081757208,0.00712401999632392
iid,mixed,fedavg,1500.0,3,0.5614702693952833,0.006792164835534935
iid,mixed,fedavg,1600.0,3,0.5680399667856298,0.006293028341893433
iid,mixed,fedavg,1700.0,3,0.5744942225944337,0.005605458844571791
iid,mixed,fedavg,1800.0,3,0.5799460287271986,0.005497726614732054
iid,mixed,fedavg,1900.0,3,0.5856439326504331,0.005094680483581954
iid,mixed,fedavg,2000.0,3,0.5917110884313458,0.004546066474093889
iid,mixed,fedavg,2100.0,3,0.596891244985662,0.0043952627177875
iid,mixed,fedavg,2200.0,3,0.6015783254511627,0.004219094082889406
iid,mixed,fedavg,2300.0,3,0.604288371762152,0.0024848308070401777
iid,mixed,fedavg,2400.0,3,0.6051333333333333,0.002285461295522902
iid,mixed,fedbuff,200.0,3,0.40230820993991373,0.009447517468153732
iid,mixed,fedbuff,300.0,3,0.4513614051448682,0.01165217725771346
iid,mixed,fedbuff,400.0,3,0.48977101250759353,0.008152346793041568
iid,mixed,fedbuff,500.0,3,0.5146122526110152,0.007703285739315034
iid,mixed,fedbuff,600.0,3,0.5328318473399599,0.006911288679809897
iid,mixed,fedbuff,700.0,3,0.5487470245208954,0.008687683118558314
iid,mixed,fedbuff,800.0,3,0.5607469265368322,0.00735667477423481
iid,mixed,fedbuff,900.0,3,0.5733406514252638,0.00949702178868251
iid,mixed,fedbuff,1000.0,3,0.5861166034762999,0.008275383921980725
iid,mixed,fedbuff,1100.0,3,0.5952306696448179,0.005648980032654362
iid,mixed,fedbuff,1200.0,3,0.5994761311107658,0.001866034076268482
iid,mixed,fedbuff,1300.0,3,0.6004333333333333,0.0002516611478423821
iid,mixed,fedstaleweight,200.0,3,0.4081954178494287,0.011869754790920957
iid,mixed,fedstaleweight,300.0,3,0.46007776978720566,0.006662998891643165
iid,mixed,fedstaleweight,400.0,3,0.5083119114646496,0.01005891761430945
iid,mixed,fedstaleweight,500.0,3,0.5361690229394166,0.004124197263601356
iid,mixed,fedstaleweight,600.0,3,0.5542026044753742,0.0028436261885418077
iid,mixed,fedstaleweight,700.0,3,0.5750192513343618,0.0037157289043466524
iid,mixed,fedstaleweight,800.0,3,0.5878469046097319,0.007436233925894367
iid,mixed,fedstaleweight,900.0,3,0.6004190090946386,0.002131717278542945
iid,mixed,fedstaleweight,1000.0,3,0.6015666666666667,0.0006027713773341566
noniid,all_rpi5,fedasync,200.0,3,0.29697932610478656,0.020600953926472303
noniid,all_rpi5,fedasync,300.0,3,0.2545635885049924,0.03529978188306646
noniid,all_rpi5,fedasync,400.0,3,0.3128507004772616,0.0741606079006824
noniid,all_rpi5,fedasync,500.0,3,0.3650817876484902,0.08051121747713004
noniid,all_rpi5,fedasync,600.0,3,0.351838176972569,0.049780371576015066
noniid,all_rpi5,fedasync,700.0,3,0.32174196547029393,0.013434972055394597
noniid,all_rpi5,fedasync,800.0,3,0.34080824309788355,0.08826046571239936
noniid,all_rpi5,fedasync,900.0,3,0.3528701785893011,0.06110746649019647
noniid,all_rpi5,fedasync,1000.0,3,0.38707040788502106,0.06606111969735311
noniid,all_rpi5,fedasync,1100.0,3,0.4429616933986376,0.03689780151937889
noniid,all_rpi5,fedasync,1200.0,3,0.36648020261097664,0.03811093071970362
noniid,all_rpi5,fedasync,1300.0,3,0.45155660831041516,0.02450067957105472
noniid,all_rpi5,fedasync,1400.0,3,0.4517543945594429,0.04082935041371403
noniid,all_rpi5,fedasync,1500.0,3,0.47611326838386187,0.026619346621098373
noniid,all_rpi5,fedasync,1600.0,3,0.44570267116923173,0.025714374821782782
noniid,all_rpi5,fedasync,1700.0,3,0.4038743390019963,0.05396483017496002
noniid,all_rpi5,fedasync,1800.0,3,0.46210663577045946,0.027669660816323473
noniid,all_rpi5,fedasync,1900.0,3,0.48826804143039304,0.008196747757290547
noniid,all_rpi5,fedasync,2000.0,3,0.4691604431364012,0.013268022643371378
noniid,all_rpi5,fedasync,2100.0,3,0.44138602243767106,0.09191251494771702
noniid,all_rpi5,fedasync,2200.0,3,0.5106132493747269,0.02619344328474943
noniid,all_rpi5,fedasync,2300.0,3,0.5577772294102307,0.04094306172299051
noniid,all_rpi5,fedasync,2400.0,3,0.5731604645470109,0.0274894842303578
noniid,all_rpi5,fedasync,2500.0,3,0.5566287791351755,0.07755015572634717
noniid,all_rpi5,fedasync,2600.0,3,0.5496666666666666,0.08960833294584457
noniid,all_rpi5,fedavg,200.0,3,0.3586162614390786,0.019926567139065245
noniid,all_rpi5,fedavg,300.0,3,0.41791905885861896,0.023299274983227643
noniid,all_rpi5,fedavg,400.0,3,0.45871939916908505,0.022241769682915854
noniid,all_rpi5,fedavg,500.0,3,0.4870427830037814,0.020833980030093846
noniid,all_rpi5,fedavg,600.0,3,0.5095644246968752,0.021294389547749655
noniid,all_rpi5,fedavg,700.0,3,0.5270108578254745,0.021347473920181655
noniid,all_rpi5,fedavg,800.0,3,0.5432427832100117,0.019527000150684988
noniid,all_rpi5,fedavg,900.0,3,0.5577311370928991,0.018262610932239676
noniid,all_rpi5,fedavg,1000.0,3,0.5699667549349354,0.017017015955915264
noniid,all_rpi5,fedavg,1100.0,3,0.579226552520541,0.015995890267969142
noniid,all_rpi5,fedavg,1200.0,3,0.5871862945231342,0.013926167164728118
noniid,all_rpi5,fedavg,1300.0,3,0.5933718244875165,0.008669625267620282
noniid,all_rpi5,fedavg,1400.0,3,0.5975387841969407,0.005241774906267223
noniid,all_rpi5,fedavg,1500.0,3,0.6016752770740084,0.0016486117164953554
noniid,all_rpi5,fedavg,1600.0,3,0.6023333333333333,0.0007505553499464949
noniid,all_rpi5,fedbuff,200.0,3,0.3123122078783545,0.01028726161615273
noniid,all_rpi5,fedbuff,300.0,3,0.3758593763615857,0.015576230084181738
noniid,all_rpi5,fedbuff,400.0,3,0.4146780423811089,0.015495182502624072
noniid,all_rpi5,fedbuff,500.0,3,0.4460263363605492,0.013441994775037915
noniid,all_rpi5,fedbuff,600.0,3,0.4555433914544973,0.004570616199562456
noniid,all_rpi5,fedbuff,700.0,3,0.47840361731738007,0.004921422565657979
noniid,all_rpi5,fedbuff,800.0,3,0.49093135050760556,0.012392861310877298
noniid,all_rpi5,fedbuff,900.0,3,0.49744423673866517,0.01438840777392718
noniid,all_rpi5,fedbuff,1000.0,3,0.5034789312387117,0.028986405324112105
noniid,all_rpi5,fedbuff,1100.0,3,0.5160641707137169,0.013511608440831192
noniid,all_rpi5,fedbuff,1200.0,3,0.537018250974806,0.013952477498022971
noniid,all_rpi5,fedbuff,1300.0,3,0.5363032800233107,0.017909465073888794
noniid,all_rpi5,fedbuff,1400.0,3,0.541603833482455,0.01870214345205262
noniid,all_rpi5,fedbuff,1500.0,3,0.5574541045855947,0.015045621552790241
noniid,all_rpi5,fedbuff,1600.0,3,0.5569029731759224,0.019006122756656023
noniid,all_rpi5,fedbuff,1700.0,3,0.5638205012702819,0.013775761085707178
noniid,all_rpi5,fedbuff,1800.0,3,0.5711201350428227,0.010059497153814458
noniid,all_rpi5,fedbuff,1900.0,3,0.5687797997412294,0.009924219091574114
noniid,all_rpi5,fedbuff,2000.0,3,0.5753048535992408,0.002782464246004367
noniid,all_rpi5,fedbuff,2100.0,3,0.5831735102793628,0.009878094010473364
noniid,all_rpi5,fedbuff,2200.0,3,0.5896415986316152,0.013494881017863518
noniid,all_rpi5,fedbuff,2300.0,3,0.590746231474781,0.013934471574771783
noniid,all_rpi5,fedbuff,2400.0,3,0.5926333333333333,0.009600173609541341
noniid,all_rpi5,fedstaleweight,200.0,3,0.297178596775292,0.016500666246376798
noniid,all_rpi5,fedstaleweight,300.0,3,0.4185373152698,0.01996566343630322
noniid,all_rpi5,fedstaleweight,400.0,3,0.40796225882860043,0.029233108878272473
noniid,all_rpi5,fedstaleweight,500.0,3,0.4826371504724027,0.006802678010036125
noniid,all_rpi5,fedstaleweight,600.0,3,0.4700379026070114,0.004765208046364671
noniid,all_rpi5,fedstaleweight,700.0,3,0.4998618629866021,0.0027469641714734424
noniid,all_rpi5,fedstaleweight,800.0,3,0.5227901915970118,0.006248551476427647
noniid,all_rpi5,fedstaleweight,900.0,3,0.5317091674134501,0.009542387812146688
noniid,all_rpi5,fedstaleweight,1000.0,3,0.5411003983422287,0.008099181053906161
noniid,all_rpi5,fedstaleweight,1100.0,3,0.5648958369167795,0.021812956636131003
noniid,all_rpi5,fedstaleweight,1200.0,3,0.5540585535522876,0.00905325232850406
noniid,all_rpi5,fedstaleweight,1300.0,3,0.5781473557625381,0.005323558378054026
noniid,all_rpi5,fedstaleweight,1400.0,3,0.5801684163374182,0.018648785817683783
noniid,all_rpi5,fedstaleweight,1500.0,3,0.5925803917434775,0.007983184092159385
noniid,all_rpi5,fedstaleweight,1600.0,3,0.5963554123836813,0.009957954641626294
noniid,all_rpi5,fedstaleweight,1700.0,3,0.6043,0.0038314488121336016
noniid,mixed,fedasync,400.0,3,0.34881968686093573,0.010973353574615794
