case,clients,method,data_used,rpi5_rate,rpi4_rate,n,final_acc_mean_pct,final_acc_std_pct,best_acc_mean_pct,best_acc_std_pct,total_time_mean_min,total_time_std_min,mean_round_time_mean_s,mean_round_time_std_s
A,5 rpi5,FedAvg,5/15,1.0,excluded,3,63.593333333333334,2.6934426545470247,63.593333333333334,2.6934426545470247,38.83154787411089,3.9233221084302476,76.14217535501716,11.548156956076127
B,5 rpi5 + 10 rpi4,FedAvg,15/15,1.0,1.0,3,73.12,0.9501578816175791,73.12,0.9501578816175791,137.53079932512222,8.515226904281558,373.3813991083686,17.484587582004668
C,5 rpi5 + 10 rpi4,HeteroFL,15/15,1.0,1/8,3,64.29666666666667,2.3459823812921816,64.29666666666667,2.3459823812921816,56.45195158031146,15.215390476121847,125.938757926182,25.623638170449873
D,5 rpi5 + 10 rpi4,FedRolex,15/15,1.0,1/8,3,62.74333333333334,2.8698664312705056,62.949999999999996,3.0695928068719396,60.80772524922245,17.63175588222922,127.82428774125049,29.480166401278517
E,5 rpi5 + 10 rpi4,FIARSE,15/15,1.0,1/8,3,67.82666666666667,1.7108574848108626,67.82666666666667,1.7108574848108626,155.07452910203332,14.899873877820239,425.20863833858454,32.91049336374118
