case,seed,run_id,wall_clock_s,wall_clock_min,server_round,eval_acc
B,1338,2ed7dhxe,3773.962700049,62.89937833415,9,0.6522
B,1338,2ed7dhxe,4161.675573623,69.36125956038333,10,0.6643
B,1338,2ed7dhxe,4555.453847025,75.92423078375,11,0.6749
B,1338,2ed7dhxe,4940.269922981,82.33783204968333,12,0.6858
B,1338,2ed7dhxe,5331.01916983,88.85031949716667,13,0.6948
B,1338,2ed7dhxe,5724.860466325,95.41434110541667,14,0.7061
B,1338,2ed7dhxe,6115.598186099,101.92663643498332,15,0.7119
B,1338,2ed7dhxe,6506.296167418,108.43826945696667,16,0.719
B,1338,2ed7dhxe,6895.031886367,114.91719810611667,17,0.723
B,1338,2ed7dhxe,7285.736923196,121.42894871993333,18,0.7273
B,1338,2ed7dhxe,7671.416687343,127.85694478905,19,0.7314
B,1338,2ed7dhxe,8065.120357712,134.41867262853333,20,0.7343
B,1339,vipil02r,225.070754827,3.7511792471166667,,0.1011
B,1339,vipil02r,631.44767118,10.524127853000001,1,0.2922
B,1339,vipil02r,986.147147431,16.435785790516668,2,0.3557
B,1339,vipil02r,1331.868094626,22.197801577099998,3,0.4257
B,1339,vipil02r,1687.547092291,28.125784871516665,4,0.4791
B,1339,vipil02r,2039.344693698,33.989078228299995,5,0.5226
B,1339,vipil02r,2366.196717514,39.436611958566665,6,0.5559
B,1339,vipil02r,2713.267305891,45.22112176485,7,0.5813
B,1339,vipil02r,3069.661083263,51.161018054383334,8,0.6008
B,1339,vipil02r,3425.012991573,57.08354985955,9,0.6155
B,1339,vipil02r,3776.7886268,62.94647711333334,10,0.6292
B,1339,vipil02r,4129.32563096,68.82209384933334,11,0.6433
B,1339,vipil02r,4475.142795919,74.58571326531666,12,0.6546
B,1339,vipil02r,4826.907397594,80.44845662656667,13,0.6638
B,1339,vipil02r,5178.431788929,86.30719648214999,14,0.674
B,1339,vipil02r,5531.008666102,92.18347776836666,15,0.6819
B,1339,vipil02r,5882.625456895,98.04375761491666,16,0.6882
B,1339,vipil02r,6234.389638066,103.90649396776666,17,0.6927
B,1339,vipil02r,6584.124899553,109.73541499255,18,0.6986
B,1339,vipil02r,6942.637766085,115.71062943475,19,0.7019
B,1339,vipil02r,7297.241678928,121.6206946488,20,0.7088
C,1337,0qujvgnw,69.23521925,1.1539203208333333,,0.1121
C,1337,0qujvgnw,223.957511074,3.7326251845666665,1,0.277
C,1337,0qujvgnw,333.617994747,5.5602999124500005,2,0.3878
C,1337,0qujvgnw,446.358067522,7.439301125366667,3,0.4349
C,1337,0qujvgnw,558.179116087,9.302985268116666,4,0.4835
C,1337,0qujvgnw,670.109979692,11.168499661533334,5,0.5171
C,1337,0qujvgnw,781.974249061,13.032904151016668,6,0.5443
C,1337,0qujvgnw,893.704817848,14.895080297466667,7,0.5652
C,1337,0qujvgnw,1005.556668854,16.759277814233332,8,0.5839
C,1337,0qujvgnw,1117.334176461,18.622236274349998,9,0.5966
C,1337,0qujvgnw,1229.34419128,20.489069854666663,10,0.613
C,1337,0qujvgnw,1341.162168698,22.352702811633332,11,0.6271
C,1337,0qujvgnw,1452.808489944,24.2134748324,12,0.6396
C,1337,0qujvgnw,1563.549631581,26.059160526350002,13,0.6502
C,1337,0qujvgnw,1675.34021839,27.92233697316667,14,0.6581
C,1337,0qujvgnw,1787.126159611,29.785435993516668,15,0.668
C,1337,0qujvgnw,1898.855215654,31.647586927566667,16,0.6747
C,1337,0qujvgnw,2010.556978618,33.50928297696667,17,0.6812
C,1337,0qujvgnw,2122.286391796,35.371439863266666,18,0.6866
C,1337,0qujvgnw,2235.16768616,37.252794769333335,19,0.6916
C,1337,0qujvgnw,2347.01598003,39.1169330005,20,0.6972
C,1338,yypr04xd,68.82391324,1.1470652206666665,,0.0834
C,1338,yypr04xd,233.706337852,3.8951056308666665,1,0.3161
C,1338,yypr04xd,351.633000728,5.860550012133333,2,0.4207
C,1338,yypr04xd,470.482324666,7.841372077766667,3,0.4907
C,1338,yypr04xd,589.320761915,9.822012698583334,4,0.5378
C,1338,yypr04xd,710.11679897,11.835279982833333,5,0.5666
C,1338,yypr04xd,826.881077261,13.781351287683332,6,0.5891
C,1338,yypr04xd,945.907516024,15.765125267066667,7,0.6111
C,1338,yypr04xd,1064.611635904,17.743527265066668,8,0.6245
C,1338,yypr04xd,1182.516059014,19.708600983566665,9,0.6368
C,1338,yypr04xd,1303.440105986,21.724001766433332,10,0.6488
C,1338,yypr04xd,1422.205141989,23.70341903315,11,0.6619
C,1338,yypr04xd,1540.114743006,25.6685790501,12,0.671
C,1338,yypr04xd,1657.896324069,27.63160540115,13,0.6776
C,1338,yypr04xd,1778.761244247,29.646020737449998,14,0.6838
C,1338,yypr04xd,1896.585240596,31.609754009933333,15,0.688
C,1338,yypr04xd,2017.355477199,33.62259128665,16,0.6939
C,1338,yypr04xd,2134.229200215,35.570486670250006,17,0.6999
C,1338,yypr04xd,2255.143154589,37.58571924315,18,0.7074
C,1338,yypr04xd,2372.876942111,39.547949035183336,19,0.7096
C,1338,yypr04xd,2490.698519907,41.51164199845,20,0.7151
C,1339,u3o90zou,65.415055352,1.0902509225333332,,0.0923
C,1339,u3o90zou,211.577049166,3.5262841527666664,1,0.282
C,1339,u3o90zou,313.669803328,5.227830055466667,2,0.3914
C,1339,u3o90zou,414.66233321,6.9110388868333334,3,0.458
C,1339,u3o90zou,516.118885782,8.6019814297,4,0.5073
C,1339,u3o90zou,616.58300364,10.276383394,5,0.539
C,1339,u3o90zou,713.713538364,11.8952256394,6,0.5641
C,1339,u3o90zou,813.910208855,13.565170147583332,7,0.5857
C,1339,u3o90zou,914.016957915,15.233615965250001,8,0.603
C,1339,u3o90zou,1013.836695491,16.897278258183334,9,0.6171
C,1339,u3o90zou,1114.286825391,18.57144708985,10,0.627
C,1339,u3o90zou,1215.630628139,20.260510468983334,11,0.6392
C,1339,u3o90zou,1316.320620138,21.9386770023,12,0.6479
C,1339,u3o90zou,1417.34335706,23.622389284333334,13,0.6574
C,1339,u3o90zou,1515.913821205,25.265230353416666,14,0.6608
C,1339,u3o90zou,1616.460785742,26.9410130957,15,0.6685
C,1339,u3o90zou,1716.659889449,28.610998157483333,16,0.6753
C,1339,u3o90zou,1816.955243029,30.28258738381667,17,0.6784
C,1339,u3o90zou,1915.508651771,31.925144196183332,18,0.6849
C,1339,u3o90zou,2016.050925456,33.6008487576,19,0.6877
C,1339,u3o90zou,2116.303153594,35.27171922656667,20,0.694
D,1337,2qe5vs0v,69.751598629,1.1625266438166666,,0.086
D,1337,2qe5vs0v,223.661778409,3.7276963068166666,1,0.3126
D,1337,2qe5vs0v,335.507957897,5.591799298283333,2,0.4014
D,1337,2qe5vs0v,444.202051271,7.403367521183333,3,0.4432
D,1337,2qe5vs0v,553.13392104,9.218898684000001,4,0.4883
D,1337,2qe5vs0v,666.140082195,11.10233470325,5,0.5253
D,1337,2qe5vs0v,777.064307079,12.951071784649999,6,0.5529
D,1337,2qe5vs0v,888.918533594,14.815308893233333,7,0.5749
D,1337,2qe5vs0v,999.839897674,16.663998294566667,8,0.594
D,1337,2qe5vs0v,1111.73252018,18.528875336333332,9,0.6069
D,1337,2qe5vs0v,1223.862224617,20.397703743616667,10,0.6206
D,1337,2qe5vs0v,1335.800709045,22.263345150750002,11,0.6288
D,1337,2qe5vs0v,1447.681017719,24.128016961983334,12,0.6361
D,1337,2qe5vs0v,1559.554908381,25.99258180635,13,0.6423
D,1337,2qe5vs0v,1671.295857613,27.854930960216667,14,0.652
D,1337,2qe5vs0v,1781.238823702,29.687313728366668,15,0.6608
D,1337,2qe5vs0v,1894.304377975,31.571739632916668,16,0.6675
D,1337,2qe5vs0v,2004.275662964,33.404594382733336,17,0.6736
D,1337,2qe5vs0v,2117.177462712,35.286291045199995,18,0.6763
D,1337,2qe5vs0v,2227.181706773,37.11969511288333,19,0.6846
D,1337,2qe5vs0v,2339.032473436,38.98387455726667,20,0.6928
D,1338,1i0csvsx,82.415684001,1.37359473335,,0.0905
D,1338,1i0csvsx,249.238311534,4.153971858899999,1,0.2828
D,1338,1i0csvsx,365.455986246,6.0909331041,2,0.4156
D,1338,1i0csvsx,483.227151466,8.053785857766666,3,0.4749
D,1338,1i0csvsx,604.268233199,10.071137219983333,4,0.519
D,1338,1i0csvsx,720.301345476,12.005022424600002,5,0.5498
D,1338,1i0csvsx,839.594731819,13.993245530316667,6,0.5688
D,1338,1i0csvsx,958.65615961,15.977602660166667,7,0.5857
D,1338,1i0csvsx,1077.776270023,17.96293783371667,8,0.602
D,1338,1i0csvsx,1195.699276479,19.92832127465,9,0.6169
D,1338,1i0csvsx,1313.801736743,21.896695612383333,10,0.6303
D,1338,1i0csvsx,1431.638280184,23.860638003066665,11,0.6411
D,1338,1i0csvsx,1550.726494565,25.84544157608333,12,0.6515
D,1338,1i0csvsx,1669.695073884,27.8282512314,13,0.6612
D,1338,1i0csvsx,1788.603139009,29.810052316816666,14,0.6718
D,1338,1i0csvsx,1908.868817346,31.8144802891,15,0.6759
D,1338,1i0csvsx,2027.880087132,33.7980014522,16,0.6814
D,1338,1i0csvsx,2145.742727178,35.762378786300005,17,0.6889
D,1338,1i0csvsx,2266.70206342,37.77836772366666,18,0.6933
D,1338,1i0csvsx,2384.637630431,39.74396050718334,19,0.7
D,1338,1i0csvsx,2502.414638411,41.70691064018333,20,0.7057
D,1339,mfjq23sm,79.0246032,1.31707672,,0.0887
D,1339,mfjq23sm,233.630276728,3.8938379454666667,1,0.2642
D,1339,mfjq23sm,335.536050248,5.592267504133333,2,0.4017
D,1339,mfjq23sm,435.34591891,7.255765315166667,3,0.4568
D,1339,mfjq23sm,533.608790184,8.8934798364,4,0.5014
D,1339,mfjq23sm,633.263383851,10.55438973085,5,0.531
D,1339,mfjq23sm,734.700049435,12.245000823916666,6,0.5532
D,1339,mfjq23sm,835.218787705,13.920313128416666,7,0.5711
D,1339,mfjq23sm,937.213573898,15.620226231633334,8,0.5861
D,1339,mfjq23sm,1034.758221,17.24597035,9,0.597
D,1339,mfjq23sm,1135.657000296,18.9276166716,10,0.6057
D,1339,mfjq23sm,1234.295532747,20.57159221245,11,0.6183
D,1339,mfjq23sm,1336.303086374,22.271718106233333,12,0.6292
D,1339,mfjq23sm,1435.313316524,23.921888608733333,13,0.6375
D,1339,mfjq23sm,1535.029858192,25.583830969866664,14,0.6437
D,1339,mfjq23sm,1635.028983076,27.250483051266666,15,0.6543
D,1339,mfjq23sm,1735.627112962,28.927118549366664,16,0.663
D,1339,mfjq23sm,1834.176780375,30.569613006249998,17,0.668
D,1339,mfjq23sm,1936.500790823,32.27501318038333,18,0.6742
D,1339,mfjq23sm,2036.80379703,33.9467299505,19,0.6795
D,1339,mfjq23sm,2138.179643556,35.6363273926,20,0.6838
E,1337,11po16lu,78.612709012,1.3102118168666665,,0.1081
E,1337,11po16lu,512.541685141,8.542361419016666,1,0.2847
E,1337,11po16lu,901.263176179,15.021052936316666,2,0.4072
E,1337,11po16lu,1289.204591109,21.486743185149997,3,0.4583
E,1337,11po16lu,1674.113709778,27.901895162966664,4,0.5055
E,1337,11po16lu,2060.281968623,34.33803281038333,5,0.5357
E,1337,11po16lu,2448.230511838,40.80384186396667,6,0.5599
E,1337,11po16lu,2836.314983479,47.27191639131667,7,0.5817
E,1337,11po16lu,3228.524929821,53.808748830350005,8,0.5999
E,1337,11po16lu,3619.507133724,60.3251188954,9,0.6177
E,1337,11po16lu,4010.651781163,66.84419635271666,10,0.6311
E,1337,11po16lu,4402.468775725,73.37447959541667,11,0.6418
E,1337,11po16lu,4797.603092685,79.96005154475,12,0.6515
E,1337,11po16lu,5191.555067844,86.52591779740001,13,0.6584
E,1337,11po16lu,5585.694375673,93.09490626121666,14,0.6698
E,1337,11po16lu,5977.872513739,99.63120856231667,15,0.6746
E,1337,11po16lu,6369.596409677,106.15994016128334,16,0.6816
E,1337,11po16lu,6757.670602383,112.62784337305,17,0.6885
E,1337,11po16lu,7148.584388021,119.14307313368334,18,0.6959
E,1337,11po16lu,7540.550698777,125.67584497961667,19,0.7016
E,1337,11po16lu,7932.606933106,132.21011555176668,20,0.7077
E,1338,qpkjajnk,203.056585291,3.3842764215166667,,0.0933
E,1338,qpkjajnk,681.884535994,11.364742266566667,1,0.3334
E,1338,qpkjajnk,1108.733886826,18.478898113766665,2,0.4276
E,1338,qpkjajnk,1535.460544654,25.591009077566664,3,0.4968
E,1338,qpkjajnk,1959.487884082,32.65813140136667,4,0.5385
E,1338,qpkjajnk,2385.618557629,39.76030929381667,5,0.5664
E,1338,qpkjajnk,2818.738185613,46.978969760216664,6,0.5882
E,1338,qpkjajnk,3241.808228711,54.03013714518333,7,0.6071
E,1338,qpkjajnk,3665.966319592,61.09943865986667,8,0.6252
E,1338,qpkjajnk,4091.069842053,68.18449736755,9,0.6394
E,1338,qpkjajnk,4519.083528563,75.31805880938333,10,0.652
E,1338,qpkjajnk,4948.362500883,82.47270834805,11,0.6613
E,1338,qpkjajnk,5376.587777778,89.60979629629999,12,0.6712
E,1338,qpkjajnk,5803.669721411,96.72782869018333,13,0.6807
E,1338,qpkjajnk,6230.471388302,103.84118980503334,14,0.6865
E,1338,qpkjajnk,6655.567219993,110.92612033321667,15,0.6944
E,1338,qpkjajnk,7080.756851149,118.01261418581666,16,0.7006
E,1338,qpkjajnk,7510.769552767,125.17949254611668,17,0.7053
E,1338,qpkjajnk,7937.735907687,132.29559846145,18,0.712
E,1338,qpkjajnk,8363.01390973,139.38356516216666,19,0.7179
E,1338,qpkjajnk,8788.941880553,146.48236467588333,20,0.7214
E,1339,1ncwevzt,65.062155673,1.0843692612166669,,0.095
E,1339,1ncwevzt,490.449107449,8.174151790816667,1,0.2876
E,1339,1ncwevzt,903.463816952,15.057730282533333,2,0.3908
E,1339,1ncwevzt,1294.755821693,21.57926369488333,3,0.4473
