run_id,seed,source,server_step,client_trips_total,node_id,device_type,staleness
u2awvlob,1337,network_main,84,84,5680975054487755936,rpi4,45
u2awvlob,1337,network_main,85,85,8207643442973133991,rpi5,10
u2awvlob,1337,network_main,86,86,15001245936710154293,rpi5,15
u2awvlob,1337,network_main,87,87,6112231474357601882,rpi5,14
u2awvlob,1337,network_main,88,88,8590650825039225370,rpi5,9
u2awvlob,1337,network_main,89,89,15439651552993784664,rpi5,11
u2awvlob,1337,network_main,90,90,15921130119528930642,rpi5,10
u2awvlob,1337,network_main,91,91,4214547550354760372,rpi5,14
u2awvlob,1337,network_main,92,92,7802510188056893496,rpi4,43
u2awvlob,1337,network_main,93,93,4998706684233461772,rpi4,48
u2awvlob,1337,network_main,94,94,6112231474357601882,rpi5,6
u2awvlob,1337,network_main,95,95,8207643442973133991,rpi5,9
u2awvlob,1337,network_main,96,96,15001245936710154293,rpi5,9
u2awvlob,1337,network_main,97,97,12816508956676887436,rpi5,15
u2awvlob,1337,network_main,98,98,11607394136474989718,rpi5,15
u2awvlob,1337,network_main,99,99,17983675319955909201,rpi4,37
u2awvlob,1337,network_main,100,100,8891719579463104067,rpi5,16
