run_id,method,buffer_size,source,server_step,client_trips_total,node_id,device_type,staleness
f8r1yqsh,fedbuff,5,network_stressor_sweep,1,1,14244411391788972660,rpi5,0
f8r1yqsh,fedbuff,5,network_stressor_sweep,1,2,8335552894148306858,rpi5,0
f8r1yqsh,fedbuff,5,network_stressor_sweep,1,3,17865354463084643977,rpi5,0
f8r1yqsh,fedbuff,5,network_stressor_sweep,1,4,8604023571656330016,rpi5,0
f8r1yqsh,fedbuff,5,network_stressor_sweep,1,5,2941161713698846158,rpi5,0
f8r1yqsh,fedbuff,5,network_stressor_sweep,2,6,1287847929735971682,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,2,7,2597728084587060721,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,2,8,15850264181746673684,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,2,9,2149541508140645213,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,2,10,14273504822268314706,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,3,11,15227569813693182211,rpi4,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,3,12,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,3,13,3881793369496197376,rpi4,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,3,14,8604023571656330016,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,3,15,13203157195360056689,rpi4,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,4,16,14244411391788972660,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,4,17,8335552894148306858,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,4,18,2597728084587060721,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,4,19,2941161713698846158,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,4,20,16788588506036931967,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,5,21,8772456477865701634,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,5,22,2149541508140645213,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,5,23,15850264181746673684,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,5,24,1287847929735971682,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,5,25,14244411391788972660,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,6,26,17865354463084643977,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,6,27,8604023571656330016,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,6,28,8335552894148306858,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,6,29,14273504822268314706,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,6,30,2941161713698846158,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,7,31,3881793369496197376,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,7,32,15227569813693182211,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,7,33,2597728084587060721,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,7,34,1287847929735971682,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,7,35,15850264181746673684,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,8,36,2149541508140645213,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,8,37,13203157195360056689,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,8,38,14244411391788972660,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,8,39,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,8,40,2597728084587060721,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,9,41,8335552894148306858,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,9,42,8604023571656330016,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,9,43,14273504822268314706,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,9,44,2941161713698846158,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,9,45,15227569813693182211,rpi4,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,10,46,2149541508140645213,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,10,47,15850264181746673684,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,10,48,8772456477865701634,rpi4,5
f8r1yqsh,fedbuff,5,network_stressor_sweep,10,49,1287847929735971682,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,10,50,14244411391788972660,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,11,51,3881793369496197376,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,11,52,16788588506036931967,rpi4,6
f8r1yqsh,fedbuff,5,network_stressor_sweep,11,53,2597728084587060721,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,11,54,14273504822268314706,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,11,55,13203157195360056689,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,12,56,2941161713698846158,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,12,57,8604023571656330016,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,12,58,17865354463084643977,rpi5,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,12,59,8335552894148306858,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,12,60,1287847929735971682,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,13,61,2149541508140645213,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,13,62,15850264181746673684,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,13,63,8604023571656330016,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,13,64,14273504822268314706,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,13,65,8335552894148306858,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,14,66,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,14,67,14244411391788972660,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,14,68,15227569813693182211,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,14,69,2597728084587060721,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,14,70,2941161713698846158,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,15,71,8604023571656330016,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,15,72,13203157195360056689,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,15,73,14273504822268314706,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,15,74,1287847929735971682,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,15,75,2149541508140645213,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,16,76,15850264181746673684,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,16,77,8772456477865701634,rpi4,6
f8r1yqsh,fedbuff,5,network_stressor_sweep,16,78,3881793369496197376,rpi4,5
f8r1yqsh,fedbuff,5,network_stressor_sweep,16,79,16788588506036931967,rpi4,5
f8r1yqsh,fedbuff,5,network_stressor_sweep,16,80,2941161713698846158,rpi5,1
